Cliente_ID,Probabilidad_Churn,Prediccion_Churn,Segmento_Riesgo,Abandono_Cliente,Meses_Cliente,Cargo_Total,Tipo_Contrato_encoded,Servicio_Internet_Fibra Óptica,Soporte_Tecnico_No
1,0.33594763579084685,0,Medio_Riesgo,0,9,65.6,1,0,0
2,0.5320695509338161,1,Medio_Riesgo,0,9,59.9,0,0,1
3,0.8577192573989771,1,Alto_Riesgo,1,4,73.9,0,1,1
4,0.884621889124773,1,Alto_Riesgo,1,13,98.0,0,1,1
5,0.8400808860227268,1,Alto_Riesgo,1,3,83.9,0,1,0
6,0.6366727051702569,1,Medio_Riesgo,0,9,69.4,0,0,0
7,0.0871418677905218,0,Bajo_Riesgo,0,71,109.7,2,1,0
8,0.06395856035150536,0,Bajo_Riesgo,0,63,84.65,2,1,0
9,0.7093454551572267,1,Alto_Riesgo,0,7,48.2,0,0,1
10,0.03560293663797178,0,Bajo_Riesgo,0,65,90.45,2,0,0
11,0.050059457478316305,0,Bajo_Riesgo,0,54,45.2,2,0,0
12,0.06249766649710872,0,Bajo_Riesgo,0,72,116.8,2,1,0
13,0.8433416060342677,1,Alto_Riesgo,0,5,68.95,0,1,1
14,0.09455344708800585,0,Bajo_Riesgo,0,72,101.3,2,1,1
15,0.021556947010358398,0,Bajo_Riesgo,0,56,45.05,2,0,0
16,0.07558159769233905,0,Bajo_Riesgo,0,71,95.75,2,1,1
17,0.14995323093579557,0,Medio_Riesgo,0,34,61.25,1,0,0
18,0.8975633999451499,1,Alto_Riesgo,0,1,72.1,0,1,1
19,0.14054451082191194,0,Medio_Riesgo,1,45,62.7,1,0,1
20,0.8085172893248587,1,Alto_Riesgo,1,1,25.1,0,0,1
21,0.0855312802561339,0,Bajo_Riesgo,0,50,25.2,1,0,0
22,0.7625476738219904,1,Alto_Riesgo,1,13,94.1,0,1,1
23,0.8192078464196767,1,Alto_Riesgo,0,23,83.75,0,1,1
24,0.3343522533486504,0,Medio_Riesgo,0,3,19.85,0,0,0
25,0.2726212475475986,0,Medio_Riesgo,1,4,20.35,0,0,0
26,0.4307227469719042,0,Medio_Riesgo,1,1,30.5,0,0,1
27,0.23559557568070535,0,Medio_Riesgo,0,55,103.7,1,1,0
28,0.01776155537825796,0,Bajo_Riesgo,0,54,20.4,2,0,0
29,0.1469043224268176,0,Medio_Riesgo,0,26,19.6,1,0,0
30,0.011088412356025295,0,Bajo_Riesgo,0,69,19.7,2,0,0
31,0.40093638946568033,0,Medio_Riesgo,0,37,91.2,1,1,1
32,0.04530554939451376,0,Bajo_Riesgo,0,49,20.45,1,0,0
33,0.10349383411275109,0,Medio_Riesgo,0,66,115.8,1,1,0
34,0.05149252229815328,0,Bajo_Riesgo,0,67,20.55,1,0,0
35,0.0902622538941729,0,Bajo_Riesgo,0,20,39.4,2,0,0
36,0.06639306211549845,0,Bajo_Riesgo,0,43,25.1,2,0,0
37,0.4730649837618765,0,Medio_Riesgo,0,55,89.8,0,1,1
38,0.5168582225983142,1,Medio_Riesgo,0,59,94.75,0,1,1
39,0.056191470615139946,0,Bajo_Riesgo,0,12,20.3,2,0,0
40,0.59676171333526,1,Medio_Riesgo,0,27,75.75,0,1,1
41,0.7375152997987366,1,Alto_Riesgo,1,2,49.25,0,0,1
42,0.21330992336687252,0,Medio_Riesgo,0,27,78.2,1,0,0
43,0.0395388133701852,0,Bajo_Riesgo,0,25,25.5,2,0,0
44,0.15513452509449052,0,Medio_Riesgo,0,25,61.6,1,0,1
45,0.25562402553480146,0,Medio_Riesgo,0,29,45.0,0,0,0
46,0.03843411879841628,0,Bajo_Riesgo,0,72,85.15,2,0,0
47,0.2360991008138418,0,Medio_Riesgo,0,14,51.45,1,0,1
48,0.5952127227787256,1,Medio_Riesgo,0,35,99.25,1,1,0
49,0.6658172528340811,1,Medio_Riesgo,0,1,44.3,0,0,1
50,0.8012279012647853,1,Alto_Riesgo,0,29,94.2,0,1,0
51,0.07955962601566421,0,Bajo_Riesgo,0,64,81.25,1,0,0
52,0.5851957533892886,1,Medio_Riesgo,0,39,99.95,0,1,0
53,0.8416102654804982,1,Alto_Riesgo,0,40,91.55,0,1,1
54,0.6623174120254861,1,Medio_Riesgo,1,40,104.5,0,1,1
55,0.9102959935242197,1,Alto_Riesgo,1,11,95.0,0,1,1
56,0.577988872754145,1,Medio_Riesgo,0,6,50.35,0,0,1
57,0.4241365240818118,0,Medio_Riesgo,0,30,64.5,0,0,1
58,0.3717568036159194,0,Medio_Riesgo,0,27,19.4,0,0,0
59,0.39380886933840664,0,Medio_Riesgo,0,70,104.8,1,1,1
60,0.23776426304410314,0,Medio_Riesgo,0,57,109.4,1,1,0
61,0.07733477048534734,0,Bajo_Riesgo,0,58,50.3,1,0,1
62,0.4969516536405123,0,Medio_Riesgo,0,16,71.4,0,0,1
63,0.11410702004830656,0,Medio_Riesgo,0,69,116.0,2,1,0
64,0.558697132046621,1,Medio_Riesgo,1,1,19.85,0,0,0
65,0.9161184881046219,1,Alto_Riesgo,1,1,99.75,0,1,1
66,0.7371729688806915,1,Alto_Riesgo,0,32,93.95,0,1,1
67,0.754949902697007,1,Alto_Riesgo,0,16,90.8,0,1,1
68,0.1434676176612647,0,Medio_Riesgo,1,49,84.35,1,0,0
69,0.02956559077386525,0,Bajo_Riesgo,0,71,58.25,2,0,0
70,0.7057299539311259,1,Alto_Riesgo,0,33,107.55,0,1,1
71,0.33355013513213,0,Medio_Riesgo,0,10,19.95,0,0,0
72,0.7584465155519793,1,Alto_Riesgo,1,21,111.2,0,1,0
73,0.1650421767334457,0,Medio_Riesgo,1,37,40.2,0,0,1
74,0.7675421629233691,1,Alto_Riesgo,0,26,85.8,0,1,1
75,0.11355300348206711,0,Medio_Riesgo,0,50,35.4,1,0,0
76,0.8526355975734864,1,Alto_Riesgo,1,7,73.85,0,1,1
77,0.026096424651333418,0,Bajo_Riesgo,0,61,88.1,2,0,0
78,0.84790505248072,1,Alto_Riesgo,1,15,101.35,0,1,0
79,0.27037811310261994,0,Medio_Riesgo,0,26,45.8,0,0,0
80,0.5694882002639232,1,Medio_Riesgo,0,72,94.65,0,1,1
81,0.07222162361203227,0,Bajo_Riesgo,0,44,20.5,1,0,0
82,0.2787918319264485,0,Medio_Riesgo,0,66,89.4,0,1,1
83,0.7407209557868369,1,Alto_Riesgo,1,2,86.25,0,1,0
84,0.18820871484834467,0,Medio_Riesgo,0,44,74.85,1,0,0
85,0.7975324798349358,1,Alto_Riesgo,1,12,89.75,0,1,1
86,0.17605251780312503,0,Medio_Riesgo,0,69,109.95,2,1,0
87,0.7852310880060204,1,Alto_Riesgo,1,1,80.2,0,1,1
88,0.3343522533486504,0,Medio_Riesgo,1,3,19.85,0,0,0
89,0.7881741228040525,1,Alto_Riesgo,0,2,90.35,0,1,1
90,0.6434835100614285,1,Medio_Riesgo,0,27,86.45,0,1,1
91,0.3774561208406353,0,Medio_Riesgo,0,26,20.3,0,0,0
92,0.7562382177177029,1,Alto_Riesgo,0,39,101.25,0,1,0
93,0.7955267964076159,1,Alto_Riesgo,1,25,94.7,0,1,1
94,0.7469163380995372,1,Alto_Riesgo,1,1,70.9,0,1,1
95,0.41970484499155347,0,Medio_Riesgo,1,22,54.2,0,0,0
96,0.12204414478947123,0,Medio_Riesgo,0,72,114.9,2,1,0
97,0.07888774628945289,0,Bajo_Riesgo,0,24,19.55,2,0,0
98,0.847301870768122,1,Alto_Riesgo,0,19,86.85,0,1,1
99,0.010567499976972284,0,Bajo_Riesgo,0,71,25.35,2,0,0
100,0.6141678484855864,1,Medio_Riesgo,0,33,109.9,0,1,0
101,0.33422809226491124,0,Medio_Riesgo,0,3,19.95,0,0,0
102,0.5378131628078264,1,Medio_Riesgo,0,47,87.2,0,1,1
103,0.059052154913187736,0,Bajo_Riesgo,0,62,108.15,2,1,0
104,0.15454027620262392,0,Medio_Riesgo,0,71,116.3,1,1,0
